"ID","name","category","IAA","NAA","tir1_IAA","tir1_NAA","tir1vsSp","tir1vsSp_i","tir1vsSp_n"
"Mapoly0036s0129","MpWRKY5","TF","none","none","none","none","none","none","none"
"Mapoly0036s0136","MpWRKY6","TF","none","none","none","none","none","none","none"
"Mapoly3661s0001","MpASLBD22","TF","none","none","none","none","none","none","none"
"Mapoly0037s0007","MpbHLH21","TF","none","none","none","none","none","none","none"
"Mapoly0037s0014","MpABCB3","auxin","up","up","up","none","none","down","none"
"Mapoly0037s0099","MpTrihelix14","TF","none","none","none","none","none","none","none"
"Mapoly0037s0113","MpTrihelix15","TF","none","down","none","none","none","none","none"
"Mapoly0037s0146","MpTrihelix16","TF","none","none","none","none","none","up","none"
"Mapoly0038s0058","MpbHLH15","TF","none","none","none","none","down","down","down"
"Mapoly0038s0075","MpERF8","TF","none","none","none","none","none","none","none"
"Mapoly0038s0096","MpCXC2","TF","none","none","none","none","none","none","none"
"Mapoly0039s0003","MpbHLH14/MpRSL","TF","up","up","none","none","down","down","down"
"Mapoly0039s0030","MpWRKY7","TF","none","none","none","none","none","none","none"
"Mapoly0039s0059","MpbHLH6/MpPIF","TF","none","down","none","none","none","none","none"
"Mapoly0039s0068","MpbHLH7","TF","none","none","none","none","none","none","down"
"Mapoly0039s0074","MIR11687.1","MIR","none","none","none","none","none","none","none"
"Mapoly0004s0047","MpASLBD1","TF","none","none","none","none","none","none","none"
"Mapoly0004s0169","Mp1R-MYB1","TF","none","up","none","none","none","none","none"
"Mapoly0040s0004","MpR2R3-MYB11","TF","none","none","none","none","none","none","none"
"Mapoly0040s0112","MpbHLH13","TF","none","up","none","none","down","down","down"
"Mapoly0040s0116","MpWRKY8","TF","none","none","none","none","none","none","up"
"Mapoly0040s0134","MpDOF1","TF","none","none","none","none","none","none","none"
"Mapoly0041s0025","MpERF9","TF","none","none","none","none","none","none","none"
"Mapoly0041s0098","MpC2H2-7","TF","none","up","none","none","none","none","none"
"Mapoly0041s0104","MpTrihelix17","TF","none","none","none","none","none","none","none"
"Mapoly0042s0030","MpGH3B","auxin","none","none","none","none","none","none","down"
"Mapoly0042s0058","Mp1R-MYB11","TF","none","none","none","none","none","down","none"
"Mapoly0042s0072","MpRR-MYB3","TF","none","none","none","none","none","none","none"
